"Field of study","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2018 / 2019"
"Total, field of study","7562","7865","8154","8519","8838"
"Education","6481","6658","6695","6826","7016"
"Visual and performing arts, and communications technologies","6276","6529","6771","6997","7223"
"Humanities","6048","6234","6422","6603","6790"
"Social and behavioural sciences, and legal studies","6031","6211","6463","6636","6825"
"Law","15147","15479","19663","20615","21614"
"Business, management and public administration","8994","9218","9577","10131","10570"
"Physical and life sciences and technologies","6596","6846","7094","7361","7607"
"Mathematics, computer and information sciences","7971","8230","8512","8842","9200"
"Engineering","10399","11003","11583","11907","12543"
"Architecture","7706","8061","8322","8485","8846"
"Agriculture, natural resources and conservation","6146","6323","6438","6648","6841"
"Dentistry","32282","34400","36687","38538","40463"
"Medicine","22728","23770","24410","25850","26838"
"Nursing","6209","6401","6573","6776","6972"
"Pharmacy","25125","26215","18452","19239","19927"
"Veterinary medicine","7526","7869","8133","8540","8967"
"Other health, parks, recreation and fitness","6847","7069","7320","7541","7784"
"Personal, protective and transportation services","..","..","6747","6740","6966"
