field,date,cost
Total field of study,2014 / 2015,7562
Total field of study,2015 / 2016,7865
Total field of study,2016 / 2017,8154
Total field of study,2017 / 2018,8519
Total field of study,2018 / 2019,8838
Education,2014 / 2015,6481
Education,2015 / 2016,6658
Education,2016 / 2017,6695
Education,2017 / 2018,6826
Education,2018 / 2019,7016
